entity,method_cnt,method_post,protocol_1_0,status_major,status_404,status_499,status_cnt,path_same,path_xmlrpc,ua_cnt,has_payload,bytes_avg,bytes_std,cluster_kmeans,cluster_dbscan,pca_1,pca_2,cluster,tsne-2d-one,tsne-2d-two
16.171.29.80,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.3076923076923077,True,1.0760644373879118e-05,0.0,0,0,-0.2729654648953485,-0.2186561348357908,1,-6.4634523,-24.770824
198.235.24.155,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.683651796578608,0.11983978730103151,4,41.847176,8.330199
52.42.121.40,0.6666666666666666,0.3214285714285714,False,0.0,0.0,False,0.16666666666666666,0.0714285714285714,0.0,0.0,True,3.895493011972473e-06,5.198204303326021e-07,1,0,0.6061592786990937,0.046668461329209994,2,16.80279,-3.3931773
194.180.49.165,0.3333333333333333,0.5,False,0.0,0.0,False,0.16666666666666666,0.5,0.0,0.0,True,1.8206140733583357e-06,7.16313283788961e-07,1,0,0.24507713594661765,-0.07823535429383234,5,22.396475,-22.821371
72.18.80.251,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.683651796578608,0.11983978730103151,4,38.989105,3.2474282
205.210.31.31,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,0,-0.2800283571061838,-0.20805967507623133,1,-16.976067,-37.00195
198.199.111.202,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.683651796578608,0.11983978730103151,4,38.989105,3.2474282
198.199.109.64,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,3.6412281467166714e-06,0.0,0,0,-0.280028426734192,-0.20805969323322274,1,-41.32341,15.429398
198.235.24.143,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.683651796578608,0.11983978730103151,4,41.847176,8.330199
139.59.12.179,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,4.4020817893141845e-06,0.0,0,0,-0.280028422655564,-0.20805969216963327,1,-25.4223,8.501469
35.203.211.179,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,0,-0.2800283571061838,-0.20805967507623133,1,-16.976067,-37.00195
